Project,Client,Service,Total Hours Budget,Project Start Date,Project End Date,Budget
UNESCO-Visual Brand Identity,UNESCO,Visual Brand Identity,240,2/22/2027,3/23/2027,"$51,500"
UNESCO-Design System Application,UNESCO,Design System Application,135,1/4/2027,2/9/2027,"$27,500"
UNESCO-Website Design,UNESCO,Website Design,145,12/28/2026,2/6/2027,"$27,000"
UNESCO-Document & Reports,UNESCO,Document & Reports,55,2/15/2027,4/18/2027,"$10,000"
UNESCO-Infographics,UNESCO,Infographics,25,2/22/2027,3/14/2027,"$4,000"
World Health Organization-Facilitation,World Health Organization,Facilitation,55,1/14/2027,2/3/2027,"$11,500"
World Health Organization-Visual Brand Identity,World Health Organization,Visual Brand Identity,190,1/25/2027,4/18/2027,"$32,500"
World Health Organization-Brand Guidelines,World Health Organization,Brand Guidelines,85,3/15/2027,4/11/2027,"$16,000"
World Health Organization-Design System Application,World Health Organization,Design System Application,90,2/13/2027,4/23/2027,"$15,500"
World Health Organization-Website Design,World Health Organization,Website Design,175,1/23/2027,4/23/2027,"$26,000"
World Health Organization-Presentations,World Health Organization,Presentations,45,4/3/2027,4/23/2027,"$6,500"
Apple Education-Business Development/Executive Coaching,Apple Education,Business Development/Executive Coaching,25,2/23/2026,5/24/2026,"$6,000"
Apple Education-Visual Brand Identity,Apple Education,Visual Brand Identity,195,3/16/2026,4/11/2026,"$30,500"
Apple Education-Website Design,Apple Education,Website Design,170,4/27/2026,6/30/2026,"$28,000"
Apple Education-Sales Collateral,Apple Education,Sales Collateral,35,6/1/2026,6/28/2026,"$4,500"
Lightstep-Business Development/Executive Coaching,Lightstep,Business Development/Executive Coaching,20,6/15/2026,10/11/2026,"$4,500"
Lightstep-Visual Brand Identity,Lightstep,Visual Brand Identity,160,7/6/2026,8/30/2026,"$27,500"
Lightstep-Website Design,Lightstep,Website Design,145,8/3/2026,10/4/2026,"$23,500"
Lightstep-Sales Collateral,Lightstep,Sales Collateral,30,9/28/2026,10/18/2026,"$4,500"
Lightstep-1-pagers,Lightstep,1-pagers,15,9/28/2026,10/18/2026,"$2,500"
Torch-Business Development/Executive Coaching,Torch,Business Development/Executive Coaching,55,9/7/2026,11/15/2026,"$12,000"
Torch-Visual Brand Identity,Torch,Visual Brand Identity,150,9/14/2026,11/29/2026,"$31,000"
Torch-Website Design,Torch,Website Design,180,11/2/2026,2/7/2027,"$34,000"
Torch-Templates,Torch,Templates,30,1/11/2027,1/24/2027,"$4,500"
Torch-Presentations,Torch,Presentations,70,11/19/2026,12/23/2026,"$13,500"
Torch-Sales Collateral,Torch,Sales Collateral,80,11/9/2026,12/6/2026,"$13,000"
Loom-Visual Brand Identity,Loom,Visual Brand Identity,235,9/21/2026,10/25/2026,"$49,500"
Loom-Design System Application,Loom,Design System Application,170,11/30/2026,1/20/2027,"$32,500"
Loom-Website Design,Loom,Website Design,230,2/15/2027,3/23/2027,"$47,000"
Loom-Templates,Loom,Templates,75,1/11/2027,2/21/2027,"$13,000"
Loom-Sales Collateral,Loom,Sales Collateral,75,12/28/2026,2/14/2027,"$13,000"
Kentik-Business Development/Executive Coaching,Kentik,Business Development/Executive Coaching,25,3/2/2026,5/31/2026,"$6,000"
Kentik-Visual Brand Identity,Kentik,Visual Brand Identity,270,3/16/2026,4/13/2026,"$57,500"
Kentik-Design System Application,Kentik,Design System Application,120,4/27/2026,6/9/2026,"$23,000"
Kentik-Website Design,Kentik,Website Design,225,5/4/2026,6/8/2026,"$41,500"
Kentik-Templates,Kentik,Templates,35,6/8/2026,7/12/2026,"$6,000"
Kentik-Sales Collateral,Kentik,Sales Collateral,55,6/8/2026,7/12/2026,"$10,000"
West SF-Business Development/Executive Coaching,West SF,Business Development/Executive Coaching,30,12/14/2026,2/28/2027,"$6,500"
West SF-Visual Brand Identity,West SF,Visual Brand Identity,185,12/7/2026,1/17/2027,"$28,500"
West SF-Website Design,West SF,Website Design,190,2/1/2027,3/28/2027,"$28,500"
West SF-Templates,West SF,Templates,65,3/6/2027,4/23/2027,"$11,500"
West SF-Sales Collateral,West SF,Sales Collateral,55,3/20/2027,4/23/2027,"$8,000"
West SF-1-pagers,West SF,1-pagers,20,4/5/2027,4/18/2027,"$3,500"
Humancore-Business Development/Executive Coaching,Humancore,Business Development/Executive Coaching,45,11/2/2026,1/24/2027,"$11,000"
Humancore-Visual Brand Identity,Humancore,Visual Brand Identity,220,11/2/2026,12/17/2026,"$35,000"
Humancore-Design System Application,Humancore,Design System Application,85,12/28/2026,1/20/2027,"$17,500"
Humancore-Website Design,Humancore,Website Design,150,1/11/2027,2/21/2027,"$24,500"
Humancore-Presentations,Humancore,Presentations,60,2/26/2027,3/15/2027,"$9,000"
Humancore-1-pagers,Humancore,1-pagers,20,2/22/2027,3/14/2027,"$3,000"
A5 Meat-Website Design,A5 Meat,Website Design,130,2/16/2026,5/10/2026,"$21,500"
A5 Meat-Marketing Assets,A5 Meat,Marketing Assets,70,4/6/2026,5/10/2026,"$11,500"
A5 Meat-Social Graphics,A5 Meat,Social Graphics,15,4/27/2026,5/24/2026,"$2,000"
Bash Please-Visual Brand Identity,Bash Please,Visual Brand Identity,200,2/23/2026,5/10/2026,"$33,500"
Bash Please-Website Design,Bash Please,Website Design,115,4/13/2026,5/31/2026,"$19,000"
Bash Please-Sales Collateral,Bash Please,Sales Collateral,55,5/25/2026,6/28/2026,"$8,000"
Bash Please-1-pagers,Bash Please,1-pagers,40,5/18/2026,6/14/2026,"$5,500"
Bash Please-Marketing Assets,Bash Please,Marketing Assets,45,6/1/2026,7/5/2026,"$6,500"
Bay Area Made-Website Design,Bay Area Made,Website Design,150,7/6/2026,9/6/2026,"$29,500"
Bay Area Made-Marketing Assets,Bay Area Made,Marketing Assets,80,9/7/2026,9/27/2026,"$13,500"
Bay Area Made-Social Graphics,Bay Area Made,Social Graphics,20,7/20/2026,8/9/2026,"$3,000"
Oakland Cocktail Week-Visual Brand Identity,Oakland Cocktail Week,Visual Brand Identity,130,8/10/2026,9/20/2026,"$22,000"
Oakland Cocktail Week-Website Design,Oakland Cocktail Week,Website Design,160,9/21/2026,11/29/2026,"$24,000"
Oakland Cocktail Week-Marketing Assets,Oakland Cocktail Week,Marketing Assets,40,12/14/2026,1/17/2027,"$5,500"
People First Finance-Facilitation,People First Finance,Facilitation,50,10/14/2026,10/27/2026,"$8,500"
People First Finance-Visual Brand Identity,People First Finance,Visual Brand Identity,155,10/12/2026,12/20/2026,"$32,500"
People First Finance-Website Design,People First Finance,Website Design,195,12/7/2026,2/14/2027,"$39,000"
People First Finance-1-pagers,People First Finance,1-pagers,10,1/4/2027,1/31/2027,"$1,500"
People First Finance-Marketing Assets,People First Finance,Marketing Assets,25,12/21/2026,1/24/2027,"$4,000"
Real Estate Collective-Facilitation,Real Estate Collective,Facilitation,25,2/21/2027,3/13/2027,"$5,000"
Real Estate Collective-Website Design,Real Estate Collective,Website Design,120,2/27/2027,4/23/2027,"$22,000"
Real Estate Collective-Sales Collateral,Real Estate Collective,Sales Collateral,40,3/6/2027,4/23/2027,"$6,500"
Real Estate Collective-Marketing Assets,Real Estate Collective,Marketing Assets,60,3/20/2027,4/23/2027,"$10,000"
Women Catalysts-Website Design,Women Catalysts,Website Design,110,9/14/2026,11/15/2026,"$21,500"
Women Catalysts-Marketing Assets,Women Catalysts,Marketing Assets,40,11/23/2026,12/6/2026,"$6,000"
Women Catalysts-Ads,Women Catalysts,Ads,40,10/26/2026,11/1/2026,"$6,000"
Amanda Hunt-Business Development/Executive Coaching,Amanda Hunt,Business Development/Executive Coaching,75,2/9/2026,6/7/2026,"$15,500"
Amanda Hunt-Website Design,Amanda Hunt,Website Design,185,4/13/2026,7/19/2026,"$36,500"
Amanda Hunt-Book Design,Amanda Hunt,Book Design,115,4/13/2026,7/12/2026,"$18,500"
Karen Santos-Brand Guidelines,Karen Santos,Brand Guidelines,65,7/13/2026,8/30/2026,"$12,500"
Karen Santos-Website Design,Karen Santos,Website Design,185,7/27/2026,10/11/2026,"$27,000"
Meghan Shimek-Brand Guidelines,Meghan Shimek,Brand Guidelines,90,9/14/2026,10/18/2026,"$16,000"
Meghan Shimek-Website Design,Meghan Shimek,Website Design,160,10/5/2026,11/14/2026,"$30,000"
Meghan Shimek-Templates,Meghan Shimek,Templates,50,11/16/2026,11/29/2026,"$8,500"
Meghan Shimek-Presentations,Meghan Shimek,Presentations,75,12/17/2026,12/30/2026,"$13,500"
Shira Gill-Brand Guidelines,Shira Gill,Brand Guidelines,40,11/16/2026,12/20/2026,"$7,500"
Shira Gill-Website Design,Shira Gill,Website Design,180,12/7/2026,1/21/2027,"$33,000"
Stafford Creative Co.-Brand Guidelines,Stafford Creative Co.,Brand Guidelines,55,1/4/2027,1/31/2027,"$10,500"
Stafford Creative Co.-Website Design,Stafford Creative Co.,Website Design,110,2/1/2027,3/28/2027,"$22,000"
Zelma Rose-Website Design,Zelma Rose,Website Design,180,4/6/2026,6/5/2026,"$27,000"
Zelma Rose-Templates,Zelma Rose,Templates,45,5/25/2026,6/28/2026,"$6,500"
Zelma Rose-Book Design,Zelma Rose,Book Design,175,5/11/2026,9/27/2026,"$25,500"
HereNow CBD-Visual Brand Identity,HereNow CBD,Visual Brand Identity,130,1/5/2026,3/22/2026,"$28,000"
HereNow CBD-Website Design,HereNow CBD,Website Design,140,2/16/2026,4/12/2026,"$26,500"
HereNow CBD-1-pagers,HereNow CBD,1-pagers,20,3/2/2026,3/15/2026,"$3,000"
Lahoma Furniture-Visual Brand Identity,Lahoma Furniture,Visual Brand Identity,125,6/1/2026,8/2/2026,"$19,500"
Lahoma Furniture-Brand Guidelines,Lahoma Furniture,Brand Guidelines,65,7/6/2026,8/16/2026,"$12,500"
Lahoma Furniture-Website Design,Lahoma Furniture,Website Design,170,8/3/2026,10/25/2026,"$27,000"
Lahoma Furniture-Sales Collateral,Lahoma Furniture,Sales Collateral,55,8/24/2026,9/13/2026,"$8,000"
Materials + Process-Visual Brand Identity,Materials + Process,Visual Brand Identity,205,9/28/2026,12/6/2026,"$40,500"
Materials + Process-Design System Application,Materials + Process,Design System Application,125,12/7/2026,1/10/2027,"$23,000"
Materials + Process-Website Design,Materials + Process,Website Design,175,11/9/2026,1/10/2027,"$28,500"
Materials + Process-1-pagers,Materials + Process,1-pagers,20,1/25/2027,1/31/2027,"$3,000"
Materials + Process-Social Graphics,Materials + Process,Social Graphics,35,1/11/2027,1/31/2027,"$5,000"
McEvoy Ranch-Visual Brand Identity,McEvoy Ranch,Visual Brand Identity,150,11/16/2026,1/17/2027,"$32,000"
McEvoy Ranch-Website Design,McEvoy Ranch,Website Design,175,12/28/2026,2/14/2027,"$32,000"
McEvoy Ranch-Ads,McEvoy Ranch,Ads,45,3/8/2027,4/4/2027,"$7,000"
Method-Visual Brand Identity,Method,Visual Brand Identity,165,10/12/2026,1/3/2027,"$27,500"
Method-Website Design,Method,Website Design,170,12/7/2026,3/14/2027,"$25,500"
Method-1-pagers,Method,1-pagers,25,1/18/2027,1/31/2027,"$4,000"
Principle Faucet-Visual Brand Identity,Principle Faucet,Visual Brand Identity,165,1/18/2027,3/7/2027,"$26,000"
Principle Faucet-Design System Application,Principle Faucet,Design System Application,80,3/8/2027,4/18/2027,"$16,500"
Principle Faucet-Website Design,Principle Faucet,Website Design,155,2/6/2027,4/23/2027,"$22,500"
Principle Faucet-Marketing Assets,Principle Faucet,Marketing Assets,40,3/13/2027,4/23/2027,"$5,500"
Canyon Club Brewery-Website Design,Canyon Club Brewery,Website Design,200,1/26/2026,4/26/2026,"$41,000"
Canyon Club Brewery-1-pagers,Canyon Club Brewery,1-pagers,15,2/16/2026,3/15/2026,"$2,500"
Canyon Club Brewery-Marketing Assets,Canyon Club Brewery,Marketing Assets,80,4/6/2026,4/26/2026,"$13,000"
Circus Bella-Facilitation,Circus Bella,Facilitation,45,2/13/2026,3/5/2026,"$9,500"
Circus Bella-Brand Guidelines,Circus Bella,Brand Guidelines,75,3/30/2026,5/10/2026,"$13,500"
Circus Bella-Website Design,Circus Bella,Website Design,170,4/13/2026,7/12/2026,"$31,000"
Circus Bella-Marketing Assets,Circus Bella,Marketing Assets,35,6/1/2026,6/28/2026,"$5,500"
Circus Bella-Social Graphics,Circus Bella,Social Graphics,45,6/8/2026,6/14/2026,"$7,500"
Dimond Merchants Association-Facilitation,Dimond Merchants Association,Facilitation,55,7/12/2026,8/1/2026,"$11,000"
Dimond Merchants Association-Website Design,Dimond Merchants Association,Website Design,125,8/3/2026,10/18/2026,"$18,500"
Dimond Merchants Association-Sales Collateral,Dimond Merchants Association,Sales Collateral,50,9/7/2026,10/18/2026,"$7,000"
Dimond Merchants Association-Marketing Assets,Dimond Merchants Association,Marketing Assets,55,9/21/2026,10/4/2026,"$7,000"
Grand Lake Kitchen-Visual Brand Identity,Grand Lake Kitchen,Visual Brand Identity,225,9/7/2026,10/25/2026,"$46,000"
Grand Lake Kitchen-Brand Guidelines,Grand Lake Kitchen,Brand Guidelines,45,10/19/2026,11/22/2026,"$8,000"
Grand Lake Kitchen-Website Design,Grand Lake Kitchen,Website Design,150,10/19/2026,12/16/2026,"$30,500"
Grand Lake Kitchen-Marketing Assets,Grand Lake Kitchen,Marketing Assets,30,2/8/2027,2/22/2027,"$5,000"
Grand Lake Kitchen-Ads,Grand Lake Kitchen,Ads,30,11/23/2026,12/27/2026,"$4,500"
Pt. Reyes Building Supply-Visual Brand Identity,Pt. Reyes Building Supply,Visual Brand Identity,145,10/19/2026,11/30/2026,"$23,500"
Pt. Reyes Building Supply-Website Design,Pt. Reyes Building Supply,Website Design,200,2/15/2027,3/29/2027,"$30,000"
Pt. Reyes Building Supply-Marketing Assets,Pt. Reyes Building Supply,Marketing Assets,55,12/21/2026,1/8/2027,"$7,500"
Pt. Reyes Building Supply-Social Graphics,Pt. Reyes Building Supply,Social Graphics,35,2/1/2027,2/28/2027,"$5,000"
SF Design Build-Facilitation,SF Design Build,Facilitation,30,12/21/2026,1/10/2027,"$6,500"
SF Design Build-Brand Guidelines,SF Design Build,Brand Guidelines,80,1/18/2027,2/7/2027,"$14,500"
SF Design Build-Website Design,SF Design Build,Website Design,195,1/25/2027,4/4/2027,"$36,500"
SF Design Build-Marketing Assets,SF Design Build,Marketing Assets,70,3/15/2027,3/28/2027,"$12,000"
SF Design Build-Social Graphics,SF Design Build,Social Graphics,45,4/5/2027,4/18/2027,"$7,000"
Circus Bella-Visual Brand Identity,Circus Bella,Visual Brand Identity,230,11/16/2026,2/14/2027,"$42,500"
Circus Bella-Website Design,Circus Bella,Website Design,140,12/7/2026,2/14/2027,"$26,500"
Circus Bella-Marketing Assets,Circus Bella,Marketing Assets,95,1/4/2027,2/21/2027,"$16,500"
Circus Bella-Social Graphics,Circus Bella,Social Graphics,35,1/25/2027,2/7/2027,"$5,750"
Dimond Merchants Association-Visual Brand Identity,Dimond Merchants Association,Visual Brand Identity,175,12/21/2026,2/28/2027,"$32,500"
Dimond Merchants Association-Website Design,Dimond Merchants Association,Website Design,140,1/25/2027,4/4/2027,"$26,500"
Dimond Merchants Association-Sales Collateral,Dimond Merchants Association,Sales Collateral,85,2/22/2027,3/14/2027,"$15,000"
Dimond Merchants Association-1-pagers,Dimond Merchants Association,1-pagers,25,3/1/2027,3/28/2027,"$4,250"
Grand Lake Kitchen-Visual Brand Identity,Grand Lake Kitchen,Visual Brand Identity,230,1/19/2026,3/29/2026,"$42,500"
Grand Lake Kitchen-Website Design,Grand Lake Kitchen,Website Design,115,2/2/2026,4/12/2026,"$21,750"
Grand Lake Kitchen-Social Graphics,Grand Lake Kitchen,Social Graphics,30,2/16/2026,3/15/2026,"$5,000"
Grand Lake Kitchen-Ads,Grand Lake Kitchen,Ads,35,3/9/2026,4/5/2026,"$5,750"
Pt. Reyes Building Supply-Visual Brand Identity,Pt. Reyes Building Supply,Visual Brand Identity,200,2/23/2026,5/31/2026,"$37,000"
Pt. Reyes Building Supply-Website Design,Pt. Reyes Building Supply,Website Design,150,3/16/2026,5/17/2026,"$28,500"
Pt. Reyes Building Supply-Marketing Assets,Pt. Reyes Building Supply,Marketing Assets,50,4/13/2026,5/24/2026,"$8,750"
Pt. Reyes Building Supply-Social Graphics,Pt. Reyes Building Supply,Social Graphics,35,5/4/2026,6/7/2026,"$5,750"
SF Design Build-Visual Brand Identity,SF Design Build,Visual Brand Identity,125,3/23/2026,6/14/2026,"$23,000"
SF Design Build-Website Design,SF Design Build,Website Design,185,4/13/2026,6/28/2026,"$35,250"
SF Design Build-Sales Collateral,SF Design Build,Sales Collateral,80,5/11/2026,6/7/2026,"$14,000"
SF Design Build-1-pagers,SF Design Build,1-pagers,20,5/25/2026,6/7/2026,"$3,500"
SF Design Build-Templates,SF Design Build,Templates,30,6/1/2026,7/5/2026,"$5,000"
